record,rank,subject,detail,metric,value,unit,year,office,url
Presidents who won while losing the popular vote,1,John Quincy Adams,lost popular vote to Andrew Jackson,popular-vote deficit (votes),28869,votes,1824,President,https://politifinder.com/election/1824-us-president-general
Presidents who won while losing the popular vote,2,Rutherford B. Hayes,lost popular vote to Samuel J. Tilden,popular-vote deficit (votes),264292,votes,1876,President,https://politifinder.com/election/1876-us-president-general
Presidents who won while losing the popular vote,3,Benjamin Harrison,lost popular vote to Grover Cleveland,popular-vote deficit (votes),100456,votes,1888,President,https://politifinder.com/election/1888-us-president-general
Presidents who won while losing the popular vote,4,George W. Bush,lost popular vote to Al Gore,popular-vote deficit (votes),543895,votes,2000,President,https://politifinder.com/election/2000-us-president-general
Presidents who won while losing the popular vote,5,Donald Trump,lost popular vote to Hillary Clinton,popular-vote deficit (votes),2868686,votes,2016,President,https://politifinder.com/election/2016-us-president-general
Biggest presidential landslides,1,Warren G. Harding,def. James M. Cox,popular-vote margin (pts),26.2,points,1920,President,https://politifinder.com/election/1920-us-president-general
Biggest presidential landslides,2,Calvin Coolidge,def. John W. Davis,popular-vote margin (pts),25.3,points,1924,President,https://politifinder.com/election/1924-us-president-general
Biggest presidential landslides,3,Franklin D. Roosevelt,def. Alf Landon,popular-vote margin (pts),24.3,points,1936,President,https://politifinder.com/election/1936-us-president-general
Biggest presidential landslides,4,Richard Nixon,def. George McGovern,popular-vote margin (pts),23.2,points,1972,President,https://politifinder.com/election/1972-us-president-general
Biggest presidential landslides,5,Lyndon B. Johnson,def. Barry Goldwater,popular-vote margin (pts),22.6,points,1964,President,https://politifinder.com/election/1964-us-president-general
Biggest presidential landslides,6,Theodore Roosevelt,def. Alton B. Parker,popular-vote margin (pts),18.8,points,1904,President,https://politifinder.com/election/1904-us-president-general
Biggest presidential landslides,7,Ronald Reagan,def. Walter Mondale,popular-vote margin (pts),18.2,points,1984,President,https://politifinder.com/election/1984-us-president-general
Biggest presidential landslides,8,Franklin D. Roosevelt,def. Herbert Hoover,popular-vote margin (pts),17.7,points,1932,President,https://politifinder.com/election/1932-us-president-general
Biggest presidential landslides,9,Herbert Hoover,def. Al Smith,popular-vote margin (pts),17.3,points,1928,President,https://politifinder.com/election/1928-us-president-general
